year,country,region,january,february,march,april,may,june,july,august,september,october,november,december
13,austria,europa,874,955,579,433,282,348,726,510,360,384,594,813
13,belgica,europa,874,927,1038,573,383,499,1284,542,510,574,988,985
13,dinamarca,europa,613,521,482,284,154,194,443,178,119,222,363,388
11,estados_unidos,america_del_norte,81587,83787,102549,72936,62118,86000,86623,59716,34883,39093,61463,88074
13,finlandia,europa,271,298,154,109,72,120,99,64,58,88,168,384
13,francia,europa,4289,5516,4395,4036,1651,1589,3853,3324,1486,2044,3899,3646
13,irlanda,europa,228,243,250,208,204,222,347,280,160,189,213,250
13,italia,europa,2765,2273,1721,1676,1258,1362,1724,2275,1231,1608,2032,2877
13,noruega,europa,404,396,488,294,200,251,281,125,106,161,301,494
14,otros_caribe,caribe,39,43,55,39,39,56,48,64,31,39,42,26
12,estados_unidos,america_del_norte,88043,92139,110993,76780,67965,93667,91547,67335,36850,41924,63764,90090
13,polonia,europa,289,297,207,226,170,113,157,171,157,200,451,262
13,portugal,europa,176,167,194,213,134,129,157,197,155,173,219,212
13,reino_unido,europa,3518,4073,3997,2868,2029,2116,3516,3010,1575,1748,3058,3690
13,republica_checa,europa,158,272,264,210,71,67,83,73,124,82,375,249
13,rusia,europa,621,355,365,374,348,146,181,177,195,235,484,665
13,suecia,europa,1281,1093,810,431,271,261,281,199,181,319,623,1759
13,suiza,europa,1971,1851,1843,1464,925,819,1889,832,747,947,1679,2097
13,otras_zonas,otras_zonas,1374,935,848,968,929,910,1013,863,765,724,1065,1460
14,arabia_saudita,africa,20,8,23,10,20,14,8,17,15,12,,26
14,libano,africa,9,17,13,32,10,10,13,25,7,5,14,20
14,marruecos,africa,11,13,15,19,14,13,9,10,9,10,30,11
14,nigeria,africa,12,7,63,9,17,12,18,23,15,9,13,10
15,otros_caribe,caribe,68,61,47,69,69,39,35,152,42,40,46,41
14,sudafrica,africa,93,102,129,133,87,97,108,92,90,96,96,117
14,belice,america_central,66,36,75,60,63,88,98,62,71,61,79,59
14,el_salvador,america_central,5569,4545,4941,5507,5134,4664,5231,6456,4868,4983,5213,6103
14,guatemala,america_central,4310,4369,4860,4389,4870,4789,4703,4450,4570,4497,5037,4833
14,honduras,america_central,4182,2557,2740,3083,2941,3056,3216,3289,3125,3106,2661,3001
14,nicaragua,america_central,81578,40597,35520,42696,33261,35022,37297,31947,30230,28898,29110,37803
14,panama,america_central,12106,7682,6624,6316,6506,6628,6427,6907,8487,8974,9103,10260
14,canada,america_del_norte,27579,28515,25276,13643,8504,6500,8709,7283,4055,5712,13104,23850
13,estados_unidos,america_del_norte,87324,89828,111005,74646,68674,94487,95661,69338,36463,40927,62808,98241
14,mexico,america_del_norte,5043,4767,5259,6473,5662,6987,8124,6369,5910,5914,6955,7582
14,argentina,america_del_sur,3631,2114,2076,1662,1467,1138,1550,1510,1334,1407,1576,1783
14,bolivia,america_del_sur,157,155,161,124,151,196,183,162,166,135,196,133
14,brasil,america_del_sur,1561,1381,1525,1569,1412,982,1305,1495,1461,1327,1426,2261
14,chile,america_del_sur,1287,1435,814,660,674,576,906,852,757,622,696,743
14,colombia,america_del_sur,4012,2828,3034,2990,2925,2737,3011,3278,3074,3256,3263,3471
14,ecuador,america_del_sur,617,420,539,481,655,380,513,505,416,398,464,458
14,guyana,america_del_sur,13,11,15,14,22,20,19,34,19,20,22,14
14,paraguay,america_del_sur,81,79,171,68,110,39,60,108,73,22,95,58
14,peru,america_del_sur,829,867,720,603,638,695,960,870,668,698,753,683
14,surinam,america_del_sur,10,8,15,8,3,7,5,11,5,10,11,5
14,uruguay,america_del_sur,258,338,282,356,255,241,282,296,249,195,255,226
14,venezuela,america_del_sur,4981,3467,2014,2243,2043,1785,2192,2230,2021,2268,2416,2357
14,estados_unidos,america_del_norte,95086,95435,117067,85128,75035,100499,103364,74214,37365,43721,67301,103047
14,filipinas,asia,172,146,163,161,151,129,184,152,132,102,129,109
14,india,asia,337,341,491,412,498,449,492,459,278,241,527,898
14,israel,asia,1434,1502,1309,1596,942,882,990,923,812,967,707,1378
14,japon,asia,518,562,588,356,311,280,343,421,415,304,483,695
16,otros_caribe,caribe,47,48,49,50,45,36,64,55,48,44,51,34
15,estados_unidos,america_del_norte,98009,102252,122826,91269,75064,100724,104342,75654,44540,51889,84626,125849
16,estados_unidos,america_del_norte,119582,123597,147421,104096,91917,122704,125381,88828,52957,57005,77797,121992
14,taiwan,asia,172,196,246,122,175,132,142,95,99,95,168,138
14,bahamas,caribe,17,12,12,56,21,39,65,23,24,27,18,16
14,bermuda,caribe,18,20,55,82,53,30,40,60,33,19,23,45
14,cuba,caribe,304,190,243,258,223,228,278,239,191,205,215,252
14,haiti,caribe,46,28,18,20,33,26,36,38,26,23,42,27
14,jamaica,caribe,93,57,93,66,66,72,69,84,73,51,71,45
17,otros_caribe,caribe,39,110,53,45,,,,,,,,
17,estados_unidos,america_del_norte,111160,116294,147052,110022,,,,,,,,
14,republica_dominicana,caribe,430,480,403,431,396,384,467,534,444,351,449,337
14,trinidad_y_tobago,caribe,77,85,74,125,86,119,93,184,77,69,99,72
14,alemania,europa,6261,7302,8195,5264,2961,2364,4578,5327,3719,4244,7056,6645
14,austria,europa,922,989,715,473,323,314,719,597,371,385,758,842
14,belgica,europa,1270,1171,1082,1046,480,527,1409,698,569,527,1063,873
14,dinamarca,europa,737,630,368,414,187,177,413,213,149,348,385,518
13,paises_bajos,europa,2306,2047,1739,1645,1203,1331,3737,1828,1486,1486,2163,2150
15,paises_bajos,europa,2708,2542,2016,1731,1395,1276,5069,2269,1573,1587,2321,2596
14,finlandia,europa,313,240,184,116,93,75,68,63,74,91,185,394
14,francia,europa,6071,7843,6855,4491,2324,1606,4146,3457,1394,2416,4508,4570
14,hungria,europa,187,165,102,62,54,39,41,49,47,67,136,107
14,irlanda,europa,244,233,245,258,213,279,398,240,176,146,236,236
14,italia,europa,3422,3042,2416,2013,1449,1443,1821,2548,1483,1767,2476,3342
14,noruega,europa,448,439,525,425,174,226,267,137,143,180,459,546
05,otros_eu,europa,1268,1174,1107,1028,946,780,943,1196,707,1061,1229,1403
14,paises_bajos,europa,2873,2668,2177,1762,1339,1128,4660,2091,1528,1727,2291,2427
14,polonia,europa,413,558,485,251,178,183,133,202,178,207,396,287
14,portugal,europa,246,249,343,361,184,159,220,268,209,250,306,303
14,reino_unido,europa,4258,4207,4061,3468,2401,2142,3871,3444,1829,2184,3415,4265
14,republica_checa,europa,380,422,348,273,121,85,126,109,106,133,508,313
14,rumania,europa,162,188,181,107,78,86,87,83,61,60,122,173
14,rusia,europa,687,521,422,445,304,247,232,262,257,354,531,716
14,suecia,europa,1343,1258,920,582,273,306,342,215,254,425,1034,2936
14,suiza,europa,2319,2062,1805,1776,909,852,1952,991,938,1129,1971,2289
14,no_indica,no_indica,,,1,,,,1,,,,,
14,australia,oceania,1355,861,786,906,886,936,927,813,703,757,1050,1303
14,nueva_zelanda,oceania,225,150,264,165,197,185,210,197,161,187,236,322
06,otros_eu,europa,1464,1341,1330,1079,912,667,958,1198,792,909,1479,1503
15,arabia_saudita,africa,8,6,29,14,16,3,22,14,14,4,21,21
15,libano,africa,18,23,15,11,15,15,9,22,10,9,17,26
15,marruecos,africa,23,5,23,17,6,9,28,26,20,17,22,19
15,nigeria,africa,32,38,23,14,11,14,20,72,18,18,13,22
07,otros_eu,europa,1566,2662,1636,1209,1198,1050,1501,1540,1025,1066,1878,2062
15,sudafrica,africa,84,125,107,105,124,84,111,73,71,119,87,151
15,belice,america_central,94,57,52,113,68,46,72,86,67,45,61,51
15,el_salvador,america_central,5852,4630,5754,5904,5401,5292,5890,6811,5138,5664,5972,7119
15,guatemala,america_central,4801,4262,4842,4685,4862,4839,4488,4623,4213,4899,5626,5460
15,honduras,america_central,4071,2501,3363,2967,3024,2780,3684,3269,3474,3446,3188,3793
15,nicaragua,america_central,68213,35373,32239,41054,33120,34593,37968,32003,30990,32157,29658,39502
15,panama,america_central,12328,8305,6719,6174,6540,6138,6502,6464,9010,8595,9606,10754
15,canada,america_del_norte,29102,30151,24938,13952,8497,6194,8883,7301,4327,6098,13438,22890
16,paises_bajos,europa,2742,2911,2217,2083,1394,1294,4843,2399,1344,1646,1969,2287
15,mexico,america_del_norte,6028,5367,6878,6244,6103,6430,9370,7526,7580,6939,8028,8447
15,argentina,america_del_sur,3477,2200,1984,1773,1787,1633,2063,1663,1599,1636,2125,2264
15,bolivia,america_del_sur,204,160,155,213,192,171,187,162,221,140,189,211
15,brasil,america_del_sur,2267,1787,1391,1635,1512,1380,1809,1481,1302,1299,1883,1526
15,chile,america_del_sur,1579,1574,862,757,766,808,1148,843,830,833,1027,860
15,colombia,america_del_sur,4307,3093,3568,3123,3172,3107,3597,3309,3204,3433,3707,3565
15,ecuador,america_del_sur,765,426,516,402,558,432,544,523,574,435,522,474
15,guyana,america_del_sur,17,5,20,18,20,16,25,25,23,18,18,15
15,paraguay,america_del_sur,93,64,119,84,136,65,76,62,138,67,80,70
15,peru,america_del_sur,869,919,860,882,918,891,996,906,1103,922,986,1016
15,surinam,america_del_sur,19,4,8,5,9,10,14,5,11,8,9,4
15,uruguay,america_del_sur,311,402,359,266,357,319,340,278,293,259,352,299
15,venezuela,america_del_sur,3057,2369,2359,2513,2651,2495,3278,3211,3045,3190,3324,3253
17,paises_bajos,europa,2805,2441,2172,2273,,,,,,,,
15,filipinas,asia,136,156,154,206,151,196,147,148,97,119,143,188
15,india,asia,425,330,503,496,511,555,583,479,381,410,771,1121
15,israel,asia,1566,1569,1520,1649,1075,1197,1437,1125,1375,866,880,1547
15,japon,asia,474,676,588,444,372,319,403,409,363,259,448,706
08,otros_eu,europa,560,600,609,479,482,415,465,471,366,407,763,745
12,paises_bajos,europa,2560,2607,2195,1767,1200,1242,4710,1952,1719,1488,2106,2212
05,puerto_rico,caribe,29,48,70,42,50,73,142,55,43,52,138,65
15,bahamas,caribe,33,27,74,30,26,18,73,73,9,13,24,22
15,bermuda,caribe,22,34,99,48,40,27,34,37,57,26,35,22
15,cuba,caribe,442,194,217,170,198,176,284,287,193,216,302,240
15,haiti,caribe,65,26,12,6,33,25,28,32,19,18,59,23
15,jamaica,caribe,70,125,83,83,87,73,98,146,71,65,53,50
09,otros_eu,europa,721,522,703,512,369,342,365,428,305,317,572,754
06,puerto_rico,caribe,72,37,49,69,35,72,130,36,46,30,36,52
15,republica_dominicana,caribe,468,461,406,479,394,489,443,480,447,465,428,352
15,trinidad_y_tobago,caribe,77,76,77,124,89,225,256,236,84,57,72,67
15,alemania,europa,6667,7681,9192,5239,3378,2635,5187,5800,3291,4028,6786,6566
15,austria,europa,999,1008,893,409,328,281,803,749,337,365,683,824
15,belgica,europa,906,1036,1118,1154,440,428,1562,814,524,549,967,1099
15,dinamarca,europa,1023,716,551,275,235,237,595,184,152,252,431,720
07,puerto_rico,caribe,28,22,36,63,61,108,161,46,29,27,32,34
08,puerto_rico,caribe,0,9,4,3,0,4,11,29,9,3,9,2
15,finlandia,europa,356,212,200,120,73,76,83,63,57,89,256,534
15,francia,europa,6519,8560,6252,5826,2663,2016,4922,4174,1464,2616,4705,5056
15,hungria,europa,159,136,89,110,76,46,63,59,41,78,142,126
15,irlanda,europa,338,308,259,256,262,217,369,316,161,210,284,344
15,italia,europa,3497,2856,2310,1926,1467,1600,2057,3156,1549,1882,2371,3735
15,noruega,europa,402,480,577,270,173,209,349,131,127,217,459,441
10,otros_eu,europa,859,682,679,538,391,387,450,504,378,363,607,802
09,puerto_rico,caribe,2,4,3,4,5,2,7,2,6,3,7,2
15,polonia,europa,391,509,318,237,184,157,236,171,148,203,571,389
15,portugal,europa,291,296,313,362,234,166,269,394,208,248,331,288
15,reino_unido,europa,4559,5083,4946,3721,2456,2497,4746,4165,1878,2158,5368,5922
15,republica_checa,europa,305,348,297,178,73,69,134,98,89,104,223,268
15,rumania,europa,168,136,126,132,123,119,76,107,83,97,183,149
15,rusia,europa,653,324,386,316,248,203,225,303,206,304,344,506
15,suecia,europa,1791,1346,1044,573,238,304,311,222,236,429,1033,3061
15,suiza,europa,2476,2324,2016,2035,1028,888,2054,1011,786,1122,2084,2559
15,no_indica,no_indica,,,,,8,,,,,,,
15,australia,oceania,1385,1064,865,846,812,816,833,840,755,787,1074,1565
15,nueva_zelanda,oceania,229,123,190,239,209,203,266,215,170,185,231,262
11,otros_eu,europa,868,733,700,602,453,366,481,450,410,483,605,933
16,alemania,europa,7792,8263,8961,5363,3815,2852,5592,5035,3277,4281,6586,6122
16,arabia_saudita,africa,24,4,30,11,25,7,13,26,11,4,10,16
16,argentina,america_del_sur,4853,2782,3109,2664,2109,1802,2281,1890,1889,1843,1951,2696
16,australia,oceania,1671,1195,991,1148,1134,946,931,931,906,1020,1090,1592
16,austria,europa,1068,1055,631,460,288,286,838,579,334,428,753,840
16,bahamas,caribe,25,26,13,18,26,22,71,41,34,21,14,12
16,belgica,europa,1005,1053,1236,671,504,477,1541,713,532,632,823,1180
16,belice,america_central,76,35,80,58,97,60,123,60,71,57,94,58
16,bermuda,caribe,28,21,55,64,24,23,23,43,26,30,83,23
16,bolivia,america_del_sur,200,142,169,169,187,156,218,196,201,183,200,163
16,brasil,america_del_sur,1713,1492,1301,1734,1632,1474,1996,1787,1777,1578,1734,1787
16,canada,america_del_norte,30197,30524,23300,15023,9630,7241,10005,8771,5225,7638,14395,26155
16,chile,america_del_sur,1684,1696,898,976,849,762,1187,1084,1016,1035,914,990
10,puerto_rico,caribe,1,2,4,0,2,12,61,2,4,3,4,0
16,colombia,america_del_sur,4622,3252,3310,3413,3265,3565,4049,3522,3365,3536,3813,3994
16,cuba,caribe,335,277,256,309,236,228,307,218,302,218,238,237
16,dinamarca,europa,1032,994,664,351,281,320,858,304,146,272,331,668
16,ecuador,america_del_sur,579,468,460,606,484,424,583,629,461,528,579,442
16,el_salvador,america_central,6517,5638,6975,5663,6161,5762,8200,7020,5603,5903,6582,8249
11,puerto_rico,caribe,1,0,4,6,2,1,6,0,2,1,0,2
12,puerto_rico,caribe,1,2,1,,6,4,4,8,2,2,1,4
17,puerto_rico,caribe,,,1,3,,,,,,,,
16,filipinas,asia,215,224,164,184,214,159,162,190,180,154,174,190
16,finlandia,europa,407,336,220,112,105,82,120,69,46,88,224,352
16,francia,europa,7197,9808,6526,6806,2539,2064,5367,4547,1793,3122,5435,6299
16,guatemala,america_central,5038,5261,5140,5092,5307,5215,5882,5198,4677,5176,6146,6931
16,guyana,america_del_sur,11,12,17,18,14,17,29,23,12,21,16,25
16,haiti,caribe,48,40,26,23,26,33,62,44,25,26,28,34
16,honduras,america_central,4123,2957,3670,3076,2872,2906,4178,3293,3001,3283,3786,3333
16,hungria,europa,159,150,108,71,83,44,58,43,48,89,124,128
16,india,asia,500,554,599,569,586,447,640,535,423,391,629,1212
16,irlanda,europa,336,348,374,304,246,287,513,401,237,254,312,365
